type,lr,val,mean,std,1,2,3,4,5,6,7
cf,0.1,precision,0.45903500473,0.00478048195259,0.45629139072800001,0.459271523179,0.462251655629,0.46192052980099996,0.45066225165600005,0.46754966887400001,0.45529801324500002
cf,0.1,recall,0.0469688270102,0.000884727889132,0.047152460495399999,0.0456810154801,0.047440329251499998,0.0480969247014,0.045673745257599999,0.048102783719300005,0.046634530165999999
prediction,1e-05,epoch,29.8571428571,0.327326835354,30,30,30,29,30,30,30
prediction,1e-05,hidden/loss,,,0.043370446333,0.043209075736,0.043318444624,0.043940397504,0.04334080472,0.043324443201,0.043253724678
prediction,1e-05,knn/MSE,0.0383095986061,0.000134343421239,0.038245465606,0.038192871949999999,0.038286231458000003,0.038646265864000003,0.038274496792999997,0.038319181649999999,0.038202676922000002
prediction,1e-05,precision,0.131173131504,0.00701140579972,0.13112582781500001,0.12284768211899999,0.14304635761600001,0.14006622516600001,0.12119205298000001,0.13079470198699999,0.129139072848
prediction,1e-05,recall,0.00985269892123,0.000836173620239,0.010002417041500001,0.00897171512541,0.0109102711127,0.011343015494799998,0.0088366764069699993,0.0092258398092600006,0.0096789574579599982
prediction,0.0001,epoch,6.42857142857,2.05287255189,8,8,8,3,8,3,7
prediction,0.0001,hidden/loss,,,0.035951562416,0.035882863622,0.035863397356,0.046157694493,0.036017511517,0.046042472697,0.034919334384
prediction,0.0001,knn/MSE,0.0321024693544,0.00346983302382,0.030116220935999999,0.030400540679000002,0.029890393838,0.038058236241,0.029711833223,0.037779476493000001,0.028760584071
prediction,0.0001,precision,0.142904446547,0.00415182519907,0.14966887417199998,0.13940397351,0.14966887417199998,0.13907284768200001,0.14172185430500001,0.13874172185399999,0.14205298013199999
prediction,0.0001,recall,0.0108342130601,0.000643744147056,0.0115732067582,0.0105135280941,0.011661125381799999,0.0102465346901,0.011604673200700001,0.0100107882361,0.010229635059899999
prediction,0.001,epoch,5.57142857143,1.792842914,8,5,2,6,7,7,4
prediction,0.001,hidden/loss,,,0.22107623479,0.42737459372,0.46370206467,0.32761743473,0.27389693451,0.27020782652,0.53777783268
prediction,0.001,knn/MSE,0.309833335021,0.132535983483,0.15294733643,0.42805919050999997,0.58385992050000002,0.21269199252000001,0.20789408682999999,0.23530435561999999,0.34807646274000004
prediction,0.001,precision,0.0672658467361,0.00197588480093,0.068211920529800005,0.063907284768199998,0.067549668874199997,0.067549668874199997,0.070860927152299996,0.067880794702000008,0.064900662251699992
prediction,0.001,recall,0.00512389130127,0.000342599481401,0.0047977106395900001,0.0052917966214100004,0.0053652498001699996,0.0049255516045000006,0.0055451398128500001,0.0054620932408399993,0.0044796973895299998
prediction,0.01,epoch,19.4285714286,3.96412483586,22,21,11,16,20,25,21
prediction,0.01,hidden/loss,,,0.042189644888,0.042285017287,0.041890506369,0.041988278046,0.042216447683,0.042291645724,0.042206902295
prediction,0.01,knn/MSE,0.0399297002154,0.000135588696536,0.040150757869999998,0.039940509945000001,0.039785791187999998,0.039928782731,0.040026903151999998,0.039677955210000004,0.039997201412
prediction,0.01,precision,0.154966887417,0.00449160926035,0.156953642384,0.154635761589,0.151324503311,0.15728476821199999,0.164238410596,0.148344370861,0.15198675496700001
prediction,0.01,recall,0.0126240123599,0.0007818673742,0.012904333833299999,0.013199257869400001,0.011901536897300001,0.0140506754073,0.012713758658799999,0.011272371992799998,0.0123261518606
prediction,0.1,epoch,25.1428571429,4.83292280687,27,24,27,28,29,13,28
prediction,0.1,hidden/loss,,,0.04962457869,0.046699976118,0.049637916569,0.052682216255,0.055126343113,0.044109223935,0.052824381929
prediction,0.1,knn/MSE,0.0451663046006,0.00204879844008,0.044972561299,0.043181866407000002,0.045159533618999999,0.047201931475999999,0.046854086219999994,0.041123759001000001,0.047670394182000003
prediction,0.1,precision,0.1454115421,0.0130620940107,0.14370860927200002,0.14999999999999999,0.11324503311300001,0.15331125827799999,0.14768211920499999,0.14966887417199998,0.160264900662
prediction,0.1,recall,0.0122087531591,0.00149789970851,0.0108056785642,0.012365329726799998,0.0089844607946,0.013345914598399998,0.012710150449999999,0.013574227958500001,0.013675510020899999
